Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Nesillas brevicaudata,65,70,16.1,Mean,Acrocephalidae,Passeriformes,25.6,64.4,67.5,67.5
Nesillas lantzii,78.5,81,19.7,Mean,Acrocephalidae,Passeriformes,22.4,61.2,80,80
Nesillas longicaudata,71.5,73.5,19.7,Mean,Acrocephalidae,Passeriformes,24,61.9,72.5,72.5
Nesillas mariae,NA,68.5,16,Mean,Acrocephalidae,Passeriformes,21.8,62.8,68.5,68.5
Nesillas typica,77,74.33333333,19.7,Mean,Acrocephalidae,Passeriformes,23.9,63.2,75.4,75.4
Nesocharis ansorgei,NA,39,8.4,Mean,Estrildidae,Passeriformes,13.6,48,39,39
Nesocharis shelleyi,24.5,28.66666667,7.6,Mean,Estrildidae,Passeriformes,14.3,43.2,27,27
Nesopsar nigerrimus,NA,75,39,Mean,Icteridae,Passeriformes,21,99.5,73.5,73.5
Nesoptilotis flavicollis,99,101.5,28.7,Mean,Meliphagidae,Passeriformes,24.9,99.6,93.5,93.5
Nesoptilotis leucotis,83.6,89.83333333,23.9,Mean,Meliphagidae,Passeriformes,21.7,88.8,80.8,80.8
Nesospingus speculiferus,NA,62,35.2,Mean,Nesospingidae,Passeriformes,23,84.5,62,62
Nesospiza acunhae,NA,69.5,28.5,Mean,Thraupidae,Passeriformes,24.7,83,69.5,69.5
Nesospiza questi,66.5,67.5,28.5,Mean,Thraupidae,Passeriformes,23.3,79,67,67
